datetime,log_source,src_ip,resolver_ip,query,type,answer,return_code
2024-06-14 21:57:17.959,dns_logger_1,10.20.30.105,48.123.180.83,adunc.corkscrewyparulis.com,A,103.70.244.219,0
2024-06-14 21:57:18.061,dns_logger_1,bcbf:307f:b8f0:780f:41db:dc68:a523:b8ac,8d4a:ca42:7870:8c6b:47ae:21f8:3122:9af2,slow.niobeanthoracobronchotomy.com,AAAA,2a59:3217:4f49:b61f:23cb:8080:76f8:7b4a,0
2024-06-14 21:57:18.161,dns_logger_1,10.20.30.60,184.45.224.94,semisightseeing.barricaderimageable.com,A,225.253.62.250,0
2024-06-14 21:57:18.262,dns_logger_1,2dee:bbd1:9040:c869:56ce:4813:7254:1c96,973d:b008:e8d4:b8a5:950c:7b42:1297:4acb,decampment.otarioidcotyledon.com,AAAA,ed85:8a9c:2f04:1d8e:7d51:d9fc:9993:9622,0
2024-06-14 21:57:18.363,dns_logger_1,10.20.30.37,81.57.216.94,balmlike.ansulategarfish.com,A,179.208.221.128,0
2024-06-14 21:57:18.464,dns_logger_1,d6a5:f80f:ba33:dcc4:d9cc:268c:f230:50b1,6a02:3adb:2f12:cb04:4eec:5d0b:c224:3058,zoomantic.prosupervisioncompsothlypidae.com,AAAA,748a:f34b:3adb:8360:c49e:8447:304d:2b10,0
2024-06-14 21:57:18.564,dns_logger_1,10.20.30.187,163.173.55.196,unfew.pilchardimpressively.com,A,76.254.115.61,0
2024-06-14 21:57:18.665,dns_logger_1,d1e7:f6be:62aa:727c:e365:d9ad:b553:5246,368e:19a6:7ab1:7675:34a3:b724:57e7:d659,archpall.diplodocususent.com,AAAA,1b2:9db4:41bc:d574:439e:6247:45d7:b8bb,0
2024-06-14 21:57:18.766,dns_logger_1,10.20.30.154,96.251.79.54,cubicle.bibliomaniangastroschisis.com,A,53.143.248.197,0
2024-06-14 21:57:18.867,dns_logger_1,66d3:81ea:bd12:9c5e:e2c8:15a2:7abb:c5be,678f:249c:df2f:94e:4088:ae17:ba26:2c67,accreditment.rizzleparaglycogen.com,AAAA,a4ef:c77c:919c:dcae:2ab9:178e:5b34:517f,0
2024-06-14 21:57:18.967,dns_logger_1,10.20.30.29,46.255.247.222,hopperman.junkeralliancer.com,A,7.76.138.248,0
2024-06-14 21:57:19.068,dns_logger_1,10.20.30.87,57.253.217.224,admarginate.bramblebushoreodont.com,A,246.122.146.235,0
2024-06-14 21:57:19.169,dns_logger_1,10.20.30.128,44.146.50.220,nazirite.readingplatanista.com,A,109.247.12.112,0
2024-06-14 21:57:19.270,dns_logger_1,9498:6636:ab0:4323:d3d9:7e20:8eba:73df,9233:1cf7:40e8:c552:968e:256e:1682:fa14,norie.hubshitonitruous.com,SOA,None,0
2024-06-14 21:57:19.371,dns_logger_1,10.20.30.72,182.167.247.7,rootedly.palusknickerbockers.com,A,242.143.95.198,0
2024-06-14 21:57:19.472,dns_logger_1,10.20.30.44,175.170.168.116,kataphoric.fossoriaconferva.com,A,227.222.54.116,0
2024-06-14 21:57:19.572,dns_logger_1,10.20.30.204,122.55.247.5,systematist.actinobacillosisconcentrative.com,A,11.14.215.34,0
2024-06-14 21:57:19.673,dns_logger_1,3a9e:f729:5351:1783:49fc:ab98:a72d:2a72,cf8e:b72e:9163:1fe0:6334:d5b9:171e:7d68,tigella.quaternitylagetta.com,AAAA,87d8:bdaf:912f:6cf4:dc23:992f:93bc:543f,0
2024-06-14 21:57:19.774,dns_logger_1,f5b9:46ea:7335:786d:4c75:7a66:1895:dbbb,a0ab:751f:e9bc:3ad6:4dbe:b074:51aa:f10f,admonitor.peropodcoelococcus.com,AAAA,7a27:b871:215d:2f8:553d:f668:4ab3:f34c,0
2024-06-14 21:57:19.874,dns_logger_1,10.20.30.65,161.132.131.49,unnavigableness.esotericistarmpit.com,A,178.10.155.253,0
2024-06-14 21:57:19.975,dns_logger_1,10.20.30.16,161.65.89.251,papreg.beudantitecannonade.com,A,43.156.40.88,0
2024-06-14 21:57:20.076,dns_logger_1,e464:a38b:e96f:c9b4:1ec2:e00b:de8e:6ffb,d5f4:857c:32da:b523:3dae:a886:6825:5df2,stereomatrix.predissolvehypolocrian.com,AAAA,da50:65a:84c8:5cf2:8cef:ad37:6925:c825,0
2024-06-14 21:57:20.177,dns_logger_1,10.20.30.149,28.224.126.171,cochleiform.superformationdecephalization.com,A,84.179.160.113,0
2024-06-14 21:57:20.278,dns_logger_1,10.20.30.76,56.41.16.167,bastioned.membranaceouslycarbamic.com,A,70.103.83.12,0
2024-06-14 21:57:20.379,dns_logger_1,10.20.30.44,52.77.221.146,irreverently.taxologyastrophotography.com,A,19.113.174.185,0
2024-06-14 21:57:20.479,dns_logger_1,f8c1:a2a3:1571:2c10:24dd:bc8f:300:e4bb,9c99:bd22:a379:c8d5:7eb7:519b:f1bd:ec2d,polypragmatically.cacorrhachissupercommentary.com,AAAA,8482:466:f1e4:326a:82fb:1677:e3f6:1f7,0
2024-06-14 21:57:20.580,dns_logger_1,1a55:f203:6b3f:3a46:f753:474c:d2d8:538c,14e3:1d0f:630a:2178:ec8f:baea:8d74:a79b,lankness.paularonflowing.com,AAAA,bb21:7d3d:a69:11e0:7125:482f:ea7c:cb46,0
2024-06-14 21:57:20.681,dns_logger_1,8f94:fb7d:86e7:3932:f4f7:d830:5b8a:de4b,b452:7b94:b029:253a:6ff2:b87a:5ab0:94ae,corpulence.inumbratedowel.com,AAAA,8bcd:a7dd:22c4:d40c:61e0:d6c7:b11b:5395,0
2024-06-14 21:57:20.782,dns_logger_1,660e:fff7:bd6a:3c5b:caba:3529:7cb8:6f86,d637:a861:fbc7:8697:70e2:5fa7:f072:7152,fatigable.unsuccessfullybellboy.com,AAAA,7b8c:7c50:ed81:491:fe5d:fe97:d504:81db,0
2024-06-14 21:57:20.883,dns_logger_1,10.20.30.154,135.109.75.65,lattermost.forethoughtlessmuffish.com,A,238.1.183.190,0
2024-06-14 21:57:20.984,dns_logger_1,8abd:c7b0:ddc2:fa76:7c0d:8103:902a:c930,578d:b748:dbb0:1bb8:4c98:e007:1357:a6cd,condylion.pseudodementiapseudobacterium.com,AAAA,466:cf71:bb5:457b:91fc:6b6d:2970:31ac,0
2024-06-14 21:57:21.085,dns_logger_1,10.20.30.100,100.100.123.185,chordotonal.equivotemustermaster.com,A,27.245.68.168,0
2024-06-14 21:57:21.186,dns_logger_1,10.20.30.38,65.170.23.139,veronicella.climaclubbish.com,A,215.32.192.255,0
2024-06-14 21:57:21.287,dns_logger_1,fad8:ef71:c1cb:d8c3:387:97f1:e21f:670d,7305:ce53:da44:d1dc:9672:a1d7:b849:551f,antirabic.unguzzledrobustly.com,AAAA,d444:7876:9cfb:4330:5348:48d0:ffa2:94cc,0
2024-06-14 21:57:21.388,dns_logger_1,fc63:7d64:e7a8:fba5:81a8:76b7:d6e2:713e,cb00:c518:f657:4b90:1a81:1b79:57f1:2082,sufficingness.unexpeditiouscoercement.com,AAAA,3b3:4028:5c5f:86b4:16d9:768c:d566:71c9,0
2024-06-14 21:57:21.489,dns_logger_1,10.20.30.180,60.173.165.190,thyrsoid.thatninsidiousness.com,A,91.255.132.139,0
2024-06-14 21:57:21.589,dns_logger_1,10.20.30.26,255.148.102.86,tetraodon.palaeoanthropicdividend.com,A,125.2.128.0,0
2024-06-14 21:57:21.690,dns_logger_1,10.20.30.246,38.129.65.55,unbraze.acknowledgementanginous.com,A,105.184.87.24,0
2024-06-14 21:57:21.791,dns_logger_1,10.20.30.112,155.197.234.197,gastrostomize.ruengapa.com,A,215.57.92.235,0
2024-06-14 21:57:21.892,dns_logger_1,10.20.30.11,235.68.231.148,undenied.beaverboardkaryolymph.com,A,159.14.229.146,0
