datetime,log_source,protocol,src_ip,src_port,dst_ip,dst_port,bytes_in,bytes_out,packets_in,packets_out
2024-06-14 21:57:27.867,netflow_logger_1,TCP,97c5:3df6:d4ee:f9be:ae3:1d3:bb43:8e07,21309,da82:dc67:c31c:2825:38ee:6471:ac8c:4094,80,314781,217132,210,145
2024-06-14 21:57:27.967,netflow_logger_1,TCP,10.20.30.3,29002,229.220.246.63,443,67530,6755,46,5
2024-06-14 21:57:28.068,netflow_logger_1,TCP,f2c9:93d7:7cea:8c25:a547:1975:2ac4:d9e5,16467,8545:f08c:3f7e:da5f:a3f1:cdfa:3aa9:da63,443,235311,76582,157,52
2024-06-14 21:57:28.169,netflow_logger_1,TCP,10.20.30.226,54677,231.253.181.111,443,348732,92360,233,62
2024-06-14 21:57:28.269,netflow_logger_1,TCP,10.20.30.75,25147,246.130.23.192,443,84801,345558,57,231
2024-06-14 21:57:28.370,netflow_logger_1,TCP,10.20.30.157,15679,46.208.88.232,443,471983,119206,315,80
2024-06-14 21:57:28.471,netflow_logger_1,TCP,10.20.30.182,34869,112.91.123.11,443,235353,55236,157,37
2024-06-14 21:57:28.572,netflow_logger_1,TCP,10.20.30.99,61129,224.161.215.187,443,167938,266980,112,178
2024-06-14 21:57:28.673,netflow_logger_1,TCP,10.20.30.138,27140,173.135.50.172,80,438016,65554,293,44
2024-06-14 21:57:28.774,netflow_logger_1,TCP,3b62:f4dd:520e:ab3c:8154:bc06:4dd2:e6c,18570,a6ed:5576:439f:c388:807:74a:4f:8826,80,237032,329739,159,220
2024-06-14 21:57:28.875,netflow_logger_1,TCP,7f15:44a9:de76:583b:acec:3f2d:e662:f4fa,48827,9387:cf99:548b:1e0c:8197:af3f:232d:fab2,443,401229,259008,268,173
2024-06-14 21:57:28.975,netflow_logger_1,TCP,10.20.30.206,39054,244.222.108.27,80,419650,396231,280,265
2024-06-14 21:57:29.076,netflow_logger_1,TCP,aa00:c1b7:6f2e:1525:aadb:32dd:5b0d:b50,64097,9cf0:2782:17e7:c8b2:6ed0:5753:645c:26cb,443,338760,161472,226,108
2024-06-14 21:57:29.177,netflow_logger_1,UDP,10.20.30.197,41274,140.42.166.58,443,242410,286563,162,192
2024-06-14 21:57:29.278,netflow_logger_1,UDP,268f:4d6f:baef:90fa:6b2b:179:13b5:175f,32463,1d2f:95d0:26a0:5618:daf4:c2b8:efcc:ed03,443,348338,4562,233,4
2024-06-14 21:57:29.379,netflow_logger_1,TCP,10.20.30.79,42628,126.11.229.132,25,212985,20293,142,14
